Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;Health and beauty;7469;7;261415;5489715;1/5/2019;13:08:00;Ewallet;52283;4761904762;261415;91
226-31-3081;C;Naypyitaw;Normal;Female;Electronic accessories;1528;5;382;8022;3/8/2019;10:29:00;Cash;764;4761904762;382;96
631-41-3108;A;Yangon;Normal;Male;Home and lifestyle;4633;7;162155;3405255;3/3/2019;13:23:00;Credit card;32431;4761904762;162155;74
123-19-1176;A;Yangon;Member;Male;Health and beauty;5822;8;23288;489048;1/27/2019;20:33:00;Ewallet;46576;4761904762;23288;84
373-73-7910;A;Yangon;Normal;Male;Sports and travel;8631;7;302085;6343785;2/8/2019;10:37:00;Ewallet;60417;4761904762;302085;53
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;8539;7;298865;6276165;3/25/2019;18:30:00;Ewallet;59773;4761904762;298865;41
355-53-5943;A;Yangon;Member;Female;Electronic accessories;6884;6;20652;433692;2/25/2019;14:36:00;Ewallet;41304;4761904762;20652;58
315-22-5665;C;Naypyitaw;Normal;Female;Home and lifestyle;7356;10;3678;77238;2/24/2019;11:38:00;Ewallet;7356;4761904762;3678;8
665-32-9167;A;Yangon;Member;Female;Health and beauty;3626;2;3626;76146;1/10/2019;17:15:00;Credit card;7252;4761904762;3626;72
692-92-5582;B;Mandalay;Member;Female;Food and beverages;5484;3;8226;172746;2/20/2019;13:27:00;Credit card;16452;4761904762;8226;59
351-62-0822;B;Mandalay;Member;Female;Fashion accessories;1448;4;2896;60816;2/6/2019;18:07:00;Ewallet;5792;4761904762;2896;45
529-56-3974;B;Mandalay;Member;Male;Electronic accessories;2551;4;5102;107142;3/9/2019;17:03:00;Cash;10204;4761904762;5102;68
365-64-0515;A;Yangon;Normal;Female;Electronic accessories;4695;5;117375;2464875;2/12/2019;10:25:00;Ewallet;23475;4761904762;117375;71
252-56-2699;A;Yangon;Normal;Male;Food and beverages;4319;10;21595;453495;2/7/2019;16:48:00;Ewallet;4319;4761904762;21595;82
829-34-3910;A;Yangon;Normal;Female;Health and beauty;7138;10;3569;74949;3/29/2019;19:21:00;Cash;7138;4761904762;3569;57
299-46-1805;B;Mandalay;Member;Female;Sports and travel;9372;6;28116;590436;1/15/2019;16:19:00;Cash;56232;4761904762;28116;45
656-95-9349;A;Yangon;Member;Female;Health and beauty;6893;7;241255;5066355;3/11/2019;11:03:00;Credit card;48251;4761904762;241255;46
765-26-6951;A;Yangon;Normal;Male;Sports and travel;7261;6;21783;457443;1/1/2019;10:39:00;Credit card;43566;4761904762;21783;69
329-62-1586;A;Yangon;Normal;Male;Food and beverages;5467;3;82005;1722105;1/21/2019;18:00:00;Credit card;16401;4761904762;82005;86
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;403;2;403;8463;3/11/2019;15:30:00;Ewallet;806;4761904762;403;44
300-71-4605;C;Naypyitaw;Member;Male;Electronic accessories;8604;5;2151;45171;2/25/2019;11:24:00;Ewallet;4302;4761904762;2151;48
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;8798;3;13197;277137;3/5/2019;10:40:00;Ewallet;26394;4761904762;13197;51
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;332;2;332;6972;3/15/2019;12:20:00;Credit card;664;4761904762;332;44
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;3456;5;864;18144;2/17/2019;11:15:00;Ewallet;1728;4761904762;864;99
549-59-1358;A;Yangon;Member;Male;Sports and travel;8863;3;132945;2791845;3/2/2019;17:36:00;Ewallet;26589;4761904762;132945;6
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;5259;8;21036;441756;3/22/2019;19:20:00;Credit card;42072;4761904762;21036;85
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;3352;1;1676;35196;2/8/2019;15:31:00;Cash;3352;4761904762;1676;67
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;8767;2;8767;184107;3/10/2019;12:17:00;Credit card;17534;4761904762;8767;77
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;8836;5;2209;46389;1/25/2019;19:48:00;Cash;4418;4761904762;2209;96
848-62-7243;A;Yangon;Normal;Male;Health and beauty;2489;9;112005;2352105;3/15/2019;15:36:00;Cash;22401;4761904762;112005;74
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;9413;5;235325;4941825;2/25/2019;19:39:00;Credit card;47065;4761904762;235325;48
149-71-6266;B;Mandalay;Member;Male;Sports and travel;7807;9;351315;7377615;1/28/2019;12:43:00;Cash;70263;4761904762;351315;45
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;8378;8;33512;703752;1/10/2019;14:49:00;Cash;67024;4761904762;33512;51
595-11-5460;A;Yangon;Normal;Male;Health and beauty;9658;2;9658;202818;3/15/2019;10:12:00;Credit card;19316;4761904762;9658;51
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;9942;4;19884;417564;2/6/2019;10:42:00;Ewallet;39768;4761904762;19884;75
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;6812;1;3406;71526;1/7/2019;12:28:00;Ewallet;6812;4761904762;3406;68
129-29-8530;A;Yangon;Member;Male;Sports and travel;6262;5;15655;328755;3/10/2019;19:15:00;Ewallet;3131;4761904762;15655;7
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;6088;9;27396;575316;1/15/2019;17:17:00;Ewallet;54792;4761904762;27396;47
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;5492;8;21968;461328;3/23/2019;13:24:00;Ewallet;43936;4761904762;21968;76
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;3012;8;12048;253008;3/3/2019;13:01:00;Cash;24096;4761904762;12048;77
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;8672;1;4336;91056;1/17/2019;18:45:00;Ewallet;8672;4761904762;4336;79
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;5611;2;5611;117831;2/2/2019;10:11:00;Cash;11222;4761904762;5611;63
354-25-5821;B;Mandalay;Member;Female;Sports and travel;6912;6;20736;435456;2/8/2019;13:03:00;Cash;41472;4761904762;20736;56
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;987;8;3948;82908;3/4/2019;20:39:00;Cash;7896;4761904762;3948;76
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;1537;2;1537;32277;3/16/2019;19:47:00;Cash;3074;4761904762;1537;72
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;9396;4;18792;394632;3/9/2019;18:00:00;Cash;37584;4761904762;18792;95
370-41-7321;B;Mandalay;Member;Male;Health and beauty;5669;9;255105;5357205;2/27/2019;17:24:00;Credit card;51021;4761904762;255105;84
727-46-3608;B;Mandalay;Member;Female;Food and beverages;2001;9;90045;1890945;2/6/2019;15:47:00;Ewallet;18009;4761904762;90045;41
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;1893;6;5679;119259;2/10/2019;12:45:00;Credit card;11358;4761904762;5679;81
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;8263;10;41315;867615;3/19/2019;17:08:00;Ewallet;8263;4761904762;41315;79
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;914;7;3199;67179;2/3/2019;10:19:00;Cash;6398;4761904762;3199;95
162-48-8011;A;Yangon;Member;Female;Food and beverages;4459;5;111475;2340975;2/10/2019;15:10:00;Cash;22295;4761904762;111475;85
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;1787;4;3574;75054;3/22/2019;14:42:00;Ewallet;7148;4761904762;3574;65
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;1543;1;7715;162015;1/25/2019;15:46:00;Credit card;1543;4761904762;7715;61
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;1616;2;1616;33936;3/7/2019;11:49:00;Ewallet;3232;4761904762;1616;65
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;8598;8;34392;722232;2/28/2019;19:01:00;Cash;68784;4761904762;34392;82
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;4434;2;4434;93114;3/27/2019;11:26:00;Cash;8868;4761904762;4434;58
635-40-6220;A;Yangon;Normal;Male;Health and beauty;896;8;3584;75264;2/7/2019;11:28:00;Ewallet;7168;4761904762;3584;66
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;7235;10;36175;759675;1/20/2019;15:55:00;Cash;7235;4761904762;36175;54
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;3061;6;9183;192843;3/12/2019;20:36:00;Cash;18366;4761904762;9183;93
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;2474;3;3711;77931;2/15/2019;17:47:00;Credit card;7422;4761904762;3711;10
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;5573;6;16719;351099;2/24/2019;10:55:00;Ewallet;33438;4761904762;16719;7
347-34-2234;B;Mandalay;Member;Female;Sports and travel;5507;9;247815;5204115;2/3/2019;13:40:00;Ewallet;49563;4761904762;247815;10
199-75-8169;A;Yangon;Member;Male;Sports and travel;1581;10;7905;166005;3/6/2019;12:27:00;Credit card;1581;4761904762;7905;86
853-23-2453;B;Mandalay;Member;Male;Health and beauty;7574;4;15148;318108;2/14/2019;14:35:00;Cash;30296;4761904762;15148;76
877-22-3308;A;Yangon;Member;Male;Health and beauty;1587;10;7935;166635;3/13/2019;16:40:00;Cash;1587;4761904762;7935;58
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;3347;2;3347;70287;2/10/2019;15:43:00;Ewallet;6694;4761904762;3347;67
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;9761;6;29283;614943;1/7/2019;15:01:00;Ewallet;58566;4761904762;29283;99
232-11-3025;A;Yangon;Normal;Male;Sports and travel;7877;10;39385;827085;1/24/2019;10:04:00;Cash;7877;4761904762;39385;64
382-03-4532;A;Yangon;Member;Female;Health and beauty;1833;1;9165;192465;2/2/2019;18:50:00;Cash;1833;4761904762;9165;43
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;8948;10;4474;93954;1/6/2019;12:46:00;Credit card;8948;4761904762;4474;96
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;6212;10;3106;65226;2/11/2019;16:19:00;Cash;6212;4761904762;3106;59
